"","Sample","Depth","Soil_fertility","Microbial_diversity","No.Fires","Clearcut","Salvage","TSD","Ammonium.Nitrogen","Nitrate.Nitrogen","Phosphorus.Colwell","Potassium.Colwell","Organic.Carbon","DTPA.Copper","DTPA.Iron","DTPA.Manganese","Exc.Magnesium","Slope","Elevation","pH.CaCl2.","Fungi","Bacteria","Archaea"
"41",39286,"010cm",1.127331903,-0.3435133,3,0,0,8,31,40,28,709,5.38,2.25,171.37,17.85,4.89,11.8153,506.2969971,5,3.879408222,6.730012649,2.414778458
"42",39288,"010cm",0.925926483,-0.248406012,3,0,0,8,33,125,33,599,6.24,1.08,123.82,17.68,2.91,11.7152004,689.3829956,4.8,4.029044094,6.654920706,2.482992016
"43",39290,"010cm",0.032290955,0.636290037,3,0,0,8,30,22,18,529,4.72,0.57,102.3,11.62,2.94,13.9348001,671.9699707,4.7,4.570299495,6.968761188,2.399565324
"44",39294,"010cm",0.433127841,-0.084853626,0,0,0,167,80,160,38,190,5.38,0.44,272.69,24.32,0.96,4.9470901,865.1430054,3.9,4.161327559,6.589607946,2.671892884
"45",39296,"010cm",-0.465809107,0.448282871,2,1,0,8,22,36,18,179,4.4,0.72,283.12,7.61,0.9,9.47791,828.9869995,5,4.177926108,6.825943374,3.029803581
"46",39300,"010cm",0.062753419,0.741221462,1,0,0,78,23,39,15,309,6.06,0.47,202.87,10.68,1.67,13.1043997,622.8330078,4.1,4.593126066,6.66602053,3.165930858
"47",39302,"010cm",0.907045527,0.991766334,0,0,0,167,156,175,39,307,4.77,0.12,347.3,38.13,1.93,7.2470498,919.5980225,3.8,4.813605677,6.802186461,2.933789165
"48",39304,"010cm",0.507010337,0.006089136,3,0,0,8,34,56,42,589,5.32,0.64,177.02,7.46,2.79,14.1571999,498.7890015,4.6,3.745154728,6.885353221,2.886217995
"49",39306,"010cm",0.477213023,0.476786804,3,0,0,8,25,53,25,565,5.67,0.78,133.79,12.69,2.97,9.6353502,683.4710083,4.9,4.583143458,6.702007489,2.671949004
"50",39308,"010cm",0.052591974,0.497888855,2,0,0,8,60,46,26,218,5.64,0.29,199.05,5.33,1.78,4.2693501,570.9000244,4.2,4.593586,6.752163326,2.585063083
"51",39310,"010cm",0.146105791,0.462204871,2,0,0,8,33,52,17,422,5.15,0.6,158.9,10.51,2.45,1.38991,582.8959961,4.4,4.08373735,6.923440304,3.003644506
"52",39314,"010cm",-0.702884873,-0.898701717,2,1,0,8,21,36,16,171,4.92,0.27,255.08,1.78,0.47,5.6993599,818.6560059,4.3,3.616960111,6.423541768,2.569046669
"53",39316,"010cm",0.210558567,0.264087726,3,0,0,8,32,44,29,448,5.25,0.59,150.01,7.14,2.37,16.6175995,474.2609863,4.5,4.151662686,6.737849277,2.953166641
"54",39318,"010cm",-0.329013569,0.130927509,2,1,0,8,53,21,16,157,5.74,0.16,321.16,3.03,0.64,5.68894,826.7160034,4.1,4.423098624,6.691443887,2.386506275
"55",39320,"010cm",0.775171757,-0.115702152,0,0,0,167,91,233,50,296,5.35,0.46,259.93,25.79,1.51,20.8757,931.2080078,3.9,4.422615292,6.482614917,2.416542659
"56",39322,"010cm",-0.234089165,0.950670118,2,0,0,8,37,22,23,318,4.27,0.39,192.9,6.02,2.18,10.1742001,733.53302,4.3,4.655406462,7.046439224,2.615931844
"57",39324,"010cm",-0.690753738,0.54759731,2,1,0,8,34,28,13,154,4.71,0.26,298.55,1.69,0.58,7.8072,825.8280029,4.3,4.383377957,6.748295643,3.01893382
"58",39326,"010cm",-0.116259314,-0.831822968,2,1,0,8,31,2,10,270,5.48,0.74,174.68,28.11,1.83,15.5325003,550.8549805,4.9,4.118944804,6.692940797,1.296217453
"59",39328,"010cm",-0.59882686,-0.840319202,2,0,1,8,47,2,13,315,4.77,0.35,154.49,7.1,1.05,3.7323599,859.9509888,4.2,3.680813228,6.843301736,1.685792948
"60",39330,"010cm",0.238322037,-0.14436111,2,0,0,34,65,48,19,394,4.63,0.56,256.82,14.92,1.87,11.3853998,664.8950195,4.1,4.075075897,6.582987472,2.728870501
"61",39332,"010cm",-0.328058141,0.044744631,2,1,0,8,50,42,14,173,5.1,0.34,261.36,2.73,1.28,16.8582993,831.4240112,4.5,4.095923037,6.772089478,2.611930893
"62",39336,"010cm",-1.065914678,-0.780655807,2,0,1,8,24,2,6,267,4.13,0.51,80.13,11.39,1,8.1530104,812.7199707,4.8,3.492728222,6.999482504,1.766272512
"63",39340,"010cm",-0.79193768,-0.204758942,1,1,0,8,18,29,12,209,4.31,0.31,284.63,1.34,0.7,6.4287901,669.9489746,4.2,3.707996446,7.001193462,2.358487582
"64",39342,"010cm",-0.671006495,-0.157136241,2,0,1,8,36,7,12,287,4.26,0.49,121.9,11.41,0.88,2.17805,859.9829712,4.6,4.271034149,6.906167401,1.713598086
"65",39344,"010cm",-0.833927449,-0.245276067,2,1,0,8,25,2,5,218,4.6,0.65,145.09,16.61,1.3,17.9342995,550.026001,4.7,4.360744747,6.851888667,1.534831238
"66",39346,"010cm",-0.720927847,1.544228222,1,1,0,8,21,16,17,209,5.14,0.29,174.4,3.82,0.41,12.6160002,666.098999,4.1,4.570791074,7.056041622,3.711495883
"67",39348,"010cm",0.549109017,0.01770345,1,1,0,34,84,148,70,208,5.45,0.3,338.21,17.3,0.96,8.1570396,822.1370239,3.7,3.823230219,6.705710425,3.151992977
"68",39350,"010cm",-0.779871434,1.478616309,2,0,1,8,17,22,15,307,4.45,0.36,87.15,3.6,0.82,10.9677,612.9840088,4.4,4.863662111,7.224330664,2.773485579
"69",39352,"010cm",-0.917595205,-0.021776021,2,1,0,8,27,1,6,215,4.36,0.53,103.84,19.48,1.45,19.2161007,553.9500122,4.6,4.428797125,6.792944814,1.914249919
"70",39354,"010cm",-0.145731973,0.543563814,1,1,0,34,52,121,23,194,4.63,0.5,224.7,15.39,0.64,23.6049004,589.7680054,3.9,4.354842989,6.512033441,3.551411991
"71",39356,"010cm",0.416832597,-1.405166371,2,0,0,34,136,78,20,258,5.24,0.17,399.78,8.76,1.96,13.9373999,771.0620117,3.6,3.629591223,6.196648097,2.187533634
"72",39358,"010cm",-0.063101245,0.200469388,2,0,1,8,35,17,14,462,5.25,0.43,107.29,12.62,1.88,5.3535299,842.6459961,4.7,4.256204461,6.939533841,2.257011947
"73",39360,"010cm",-0.217227757,-0.075895436,1,1,0,34,64,52,15,172,5.52,0.11,319.09,2.87,0.88,7.6529598,703.6190186,3.6,4.527071489,6.543571925,2.18409448
"74",39362,"010cm",-0.310267845,0.348537787,2,1,0,8,52,42,19,182,4.8,0.26,320.82,4.86,0.84,21.7394009,777.6890259,3.8,4.428888051,6.697098875,2.723476203
"75",39364,"010cm",-0.810437289,0.958261621,2,0,1,8,28,63,22,195,4.11,0.32,117.68,3.17,0.41,9.64501,619.5029907,4.3,4.409903037,6.875484824,3.386472937
"76",39366,"010cm",-0.483528458,-0.542084299,2,0,0,8,25,5,14,323,4.93,0.51,137.58,7.07,1.51,28.7521992,824.5819702,4.5,4.062121981,6.684841186,1.88305004
"77",39368,"010cm",-0.233525376,0.763048287,2,0,0,8,26,38,21,340,4.52,0.56,123.94,8.03,1.88,19.3216,855.4370117,4.7,4.305276302,7.179475003,2.602736992
"78",39370,"010cm",-0.082492161,-0.090324571,2,0,0,34,49,4,16,305,5.15,0.49,204.61,11.85,2.46,22.8845005,596.8369751,4.3,4.546133447,6.532708951,2.151789607
"79",39372,"010cm",0.016737757,-0.574527605,1,1,0,34,65,124,27,187,5.42,0.2,296.24,7.45,0.75,16.0781994,637.7479858,3.7,4.280311545,6.369796959,2.129225339
"80",39376,"010cm",-0.348396775,-0.51382561,2,0,1,8,41,3,12,310,4.86,0.73,126.04,19.1,1.19,3.96364,871.1820068,4.8,4.099616219,6.734785782,1.76411888
"81",39197,"2030cm",-0.097089081,0.362999447,1,1,0,35,23,16,13,133,0.0491,0.13,317.62,1.63,0.17,4.5844402,796.9489746,3.9,3.647410347,6.331663758,3.620739131
"82",39201,"2030cm",1.246406353,-0.10596472,1,1,0,35,74,42,28,250,0.0465,0.18,434.14,7.55,0.86,2.8287101,804.7030029,3.4,3.526615804,6.156782634,3.513955299
"83",39203,"2030cm",-0.312083581,-1.442639197,1,1,0,9,23,9,10,106,0.0556,0.43,154.54,0.92,0.22,11.0683002,559.1450195,4.2,3.118738159,5.640093072,3.315411289
"84",39205,"2030cm",-0.486024055,-0.189068175,1,1,0,9,19,5,8,119,0.0536,0.42,162.58,0.62,0.23,5.1790199,517.7680054,4.1,3.811490724,6.072010066,3.255550249
"85",39207,"2030cm",-0.662673024,0.558319338,1,1,0,9,26,2,11,93,0.0451,0.34,116.81,0.55,0.28,13.8471003,575.2999878,4.4,3.681568739,6.55429071,3.397366742
"86",39209,"2030cm",-0.238718595,-0.023456384,1,0,0,79,31,35,10,142,0.0518,0.26,114.16,0.33,0.23,8.4603996,591.3590088,4.2,3.435003303,6.230591472,3.576671131
"87",39211,"2030cm",0.253880974,-0.130290378,2,0,0,35,34,86,20,176,0.0458,0.12,226.66,2.26,0.27,24.6075001,752.6459961,3.9,3.462635273,6.294603776,3.292528553
"88",39213,"2030cm",0.031081463,-0.131163893,1,0,0,79,29,17,19,81,0.0559,0.15,351.44,0.86,0.25,4.6419702,784.5059814,3.8,4.848830013,6.10563042,2.103678226
"89",39215,"2030cm",-0.17394119,-0.57793516,1,0,0,79,33,28,16,89,0.0445,0.08,304.23,0.58,0.23,4.2620201,748.5269775,3.7,4.015502368,5.98768198,2.711403989
"90",39217,"2030cm",0.200793019,-0.29848267,2,0,0,35,43,37,28,98,0.0497,0.14,316.67,0.68,0.25,16.7693996,813.7639771,3.9,4.218075563,6.083304976,2.645546971
"91",39221,"2030cm",0.381177022,-0.079969465,1,1,0,9,27,15,15,156,0.0589,0.38,328.53,1.98,0.46,10.2816,556.7020264,4,3.347313124,6.244927298,3.57791365
"92",39223,"2030cm",-0.318028009,0.266415685,1,0,0,79,19,10,10,140,0.0501,0.27,156.03,1.69,0.31,10.5213003,585.1450195,4.1,3.822369784,6.221187283,3.517631272
"93",39225,"2030cm",-0.29719379,1.023878735,1,1,0,35,34,13,11,127,0.0518,0.2,136.58,0.65,0.13,10.8725996,697.2340088,4.3,4.247318656,6.426479905,3.580650409
"94",39227,"2030cm",-0.017313758,-0.472159902,1,1,0,9,28,26,10,144,0.0473,0.15,187.48,1.91,0.66,6.3165798,817.5020142,4.1,3.655545811,6.021938861,3.177915153
"95",39229,"2030cm",0.159753257,0.381576566,2,0,0,35,31,35,12,215,0.0451,0.19,184.27,2.63,0.5,11.3853998,664.8950195,4.1,3.843134891,6.429907477,3.237394171
"96",39231,"2030cm",-0.215314101,-0.472134353,1,0,0,79,43,14,10,124,0.0465,0.22,150.21,0.53,0.38,14.7988997,740.4910278,4.3,3.596031547,6.062553575,3.166909988
"97",39233,"2030cm",-0.600563391,-0.235079512,2,0,1,9,25,0.5,3,206,0.0312,0.61,49.42,5.02,0.86,2.9775,794.4310303,4.7,4.051794283,6.360425647,2.380186512
"98",39235,"2030cm",0.357652489,0.452491331,2,0,0,35,36,68,13,134,0.0561,0.38,195.27,3.7,0.29,12.3104,657.0599976,4,4.013405695,6.267781395,3.443649802
"99",39237,"2030cm",0.193522793,0.086396726,2,0,0,35,14,12,9,248,0.0414,0.55,64.8,10.72,1.66,26.6119995,511.7950134,4.7,3.55212362,6.547931423,2.974975527
"100",39239,"2030cm",0.144572687,-0.716828261,1,1,0,35,34,38,18,128,0.0471,0.33,302.35,0.97,0.24,2.11274,827.1669922,3.8,3.779149417,6.065464805,2.656522314
"101",39241,"2030cm",0.500287686,-0.545679561,2,0,0,35,27,33,13,211,0.0525,0.74,157.84,3.07,0.91,18.0993996,666.1569824,4.3,3.273171426,6.249114211,3.081240952
"102",39243,"2030cm",0.61924218,0.260786288,1,1,0,35,37,62,14,187,0.0497,0.65,296.15,3.81,0.39,4.0178199,806.5170288,3.8,3.966159197,6.270921519,3.255180244
"103",39245,"2030cm",0.303009908,0.330524777,1,0,0,79,27,47,15,143,0.0481,0.66,250,4.01,0.22,10.9420996,833.6669922,3.9,3.793341967,6.313229355,3.453058011
"104",39247,"2030cm",0.240294883,0.164542832,2,0,0,35,27,35,17,118,0.0533,1.25,131.65,1.13,0.32,12.7089005,799.7680054,4.2,3.907349552,6.277498455,3.190214673
"105",39249,"2030cm",0.092524547,0.310754393,2,0,0,35,16,13,6,255,0.0498,0.77,52.93,3.67,1.23,24.4960995,499.322998,4.6,3.682877737,6.412232609,3.363233698
"106",39251,"2030cm",0.368913221,-1.185468677,1,0,0,79,44,26,16,101,0.0598,0.71,326.84,0.55,0.18,12.5548,810.427002,3.9,3.408096576,6.104163071,2.422050713
"107",39253,"2030cm",-0.016762672,0.142879537,2,0,1,9,19,0.5,8,237,0.0423,1.14,64.99,8.04,0.94,7.5625801,775.2369995,4.8,3.826893739,6.775340097,2.303325278
"108",39255,"2030cm",0.267351235,0.788485215,2,0,0,9,17,11,9,236,0.045,1.79,56.3,5.17,0.48,22.1905994,867.4240112,4.6,4.364414098,6.446868973,3.1220682
"109",39257,"2030cm",-0.034403344,0.120589991,1,1,0,35,36,21,12,134,0.0451,0.86,114.32,1.51,0.16,1.22044,620.651001,4.3,3.658367619,6.340332491,3.294478504
"110",39259,"2030cm",0.175373129,0.197455136,1,0,0,79,25,17,10,160,0.0566,1.07,131.55,2.32,0.23,19.0841999,672.8909912,4.2,3.237838038,6.503351725,3.547420254
"111",39261,"2030cm",0.485911255,-1.166886111,2,0,0,9,32,13,14,262,0.0511,1,108.69,2.38,0.79,20.5415001,859.7600098,4.4,2.969201594,6.16364739,2.821591693
"112",39263,"2030cm",1.486505547,0.502009832,2,0,0,9,36,6,27,347,0.0472,2.01,108.7,20.17,1.88,5.72999,872.7470093,4.8,3.914163011,6.881748028,2.443462274
"113",39265,"2030cm",-0.246633002,-0.491816517,1,1,0,9,18,15,10,79,0.0585,0.93,185.42,0.37,0.25,9.69203,550.6279907,4.1,3.428638359,5.949410063,3.545688952
"114",39267,"2030cm",-0.11436776,-0.310856851,1,0,0,79,18,8,9,129,0.0599,1.19,73.53,1.06,0.33,24.8717995,752.4769897,4.5,3.203117152,6.359595739,3.23679619
"115",39269,"2030cm",-0.07123127,0.667440905,1,1,0,9,26,18,9,147,0.0498,0.54,230.77,1.43,0.18,0.772034,710.6640015,4,3.928829584,6.392444486,3.563972268
"116",39271,"2030cm",-0.115972027,0.065069477,2,0,1,9,18,2,11,190,0.0475,0.76,59.99,4.29,0.73,8.31005,766.0089722,4.7,4.094839933,6.4906702,2.45184952
"117",39273,"2030cm",0.796066336,0.436901633,1,1,0,9,20,35,13,265,0.0567,0.53,204.38,6.91,1.62,19.0851994,758.96698,4.1,3.74024561,6.545515071,3.199571558
"118",39275,"2030cm",0.25146334,0.332731505,2,0,0,9,17,33,63,181,0.0432,0.37,154.18,5.75,0.22,16.4808006,739.7479858,4,3.204538925,6.866559203,3.057406925
"119",39281,"2030cm",0.303668485,1.135414418,2,0,0,9,22,41,12,200,0.0527,0.4,138.66,3.98,0.79,6.4714699,662.4279785,4.2,4.200696929,6.629563997,3.381996264
"120",39285,"2030cm",0.833201397,0.57499362,3,0,0,9,21,36,14,439,0.0552,0.76,111.5,2.28,2.18,11.8153,506.2969971,4.7,3.910382676,6.6024866,3.070245176
"121",39287,"2030cm",1.094197215,-0.201207252,3,0,0,9,31,53,17,386,0.057,1.03,75.41,7.58,1.33,11.7152004,689.3829956,4.7,3.713550164,6.376470105,2.768967272
"122",39289,"2030cm",0.29578918,0.996620852,3,0,0,9,25,29,11,286,0.0467,0.39,55.38,4.01,1.16,13.9348001,671.9699707,4.4,4.600326181,6.559036357,2.89987602
"123",39293,"2030cm",0.456148446,0.586749768,0,0,0,168,35,72,20,110,0.0515,0.73,177.92,5.21,0.29,4.9470901,865.1430054,4.1,4.080906009,6.463424841,3.159601048
"124",39295,"2030cm",-0.301131834,0.810319627,2,1,0,9,15,8,11,89,0.042,0.67,279.7,0.59,0.85,9.47791,828.9869995,4.3,4.201042053,6.38451256,3.450370865
"125",39299,"2030cm",-0.002168076,0.372787571,1,0,0,79,22,25,12,177,0.0552,0.38,129.7,1.93,0.3,13.1043997,622.8330078,4.3,3.655592765,6.455115691,3.387990737
"126",39301,"2030cm",0.333052389,0.225411248,0,0,0,168,45,78,16,112,0.044,0.35,164.23,6.02,0.43,7.2470498,919.5980225,4,3.480827715,6.418408691,3.472416644
"127",39303,"2030cm",0.177607744,0.323117873,3,0,0,9,20,47,14,268,0.0516,0.32,65,2.46,0.71,14.1571999,498.7890015,4.4,3.823786316,6.400430883,3.243528153
"128",39305,"2030cm",0.314826642,-0.143387664,3,0,0,9,24,35,15,268,0.0552,0.33,55.02,2.81,0.82,9.6353502,683.4710083,4.5,3.748185551,6.303212503,2.941050871
"129",39307,"2030cm",-0.720498918,0.029307457,2,0,0,9,19,24,10,84,0.0438,0.18,86.79,0.38,0.29,4.2693501,570.9000244,4.4,3.711283672,6.204643814,3.382324862
"130",39309,"2030cm",0.000757712,0.513635502,2,0,0,9,17,19,10,244,0.0486,0.22,74.5,3.41,0.96,1.38991,582.8959961,4.3,3.557841147,6.585405456,3.421357168
"131",39313,"2030cm",-0.326481968,-0.777709486,2,1,0,9,21,29,14,82,0.0493,0.27,240.57,0.58,0.2,5.6993599,818.6560059,4.2,3.409081153,6.057158176,3.01105081
"132",39315,"2030cm",-0.055623979,-0.333531284,3,0,0,9,16,29,12,192,0.0487,0.57,86.09,2.42,0.52,16.6175995,474.2609863,4.4,3.220570456,6.260258027,3.379070255
"133",39317,"2030cm",-0.47632237,-0.011706228,2,1,0,9,20,22,12,68,0.045,0.2,289.22,0.59,0.19,5.68894,826.7160034,4.2,3.878279285,6.250906636,3.057154562
"134",39319,"2030cm",0.631747048,0.703599929,0,0,0,168,44,87,31,135,0.0614,0.3,146.07,3.64,0.36,20.8757,931.2080078,4.2,3.984205667,6.464028213,3.409862875
"135",39321,"2030cm",-0.174560258,-0.050389618,2,0,0,9,26,22,15,136,0.0471,0.2,105.54,1.48,0.44,10.1742001,733.53302,4.3,3.779017302,6.323579148,2.981862168
"136",39323,"2030cm",-0.66078968,0.833955456,2,1,0,9,15,20,9,96,0.0393,0.3,218.21,0.52,0.25,7.8072,825.8280029,4.3,3.919535181,6.472970742,3.625002874
"137",39325,"2030cm",-0.47298318,-0.567359441,2,1,0,9,17,2,5,176,0.0281,0.5,139.33,5.41,1,15.5325003,550.8549805,4.6,3.914895297,6.450773992,1.952910089
"138",39327,"2030cm",0.252842311,0.265966308,2,0,0,9,23,49,20,119,0.051,0.76,103.04,5.83,0.33,21.9594994,862.3610229,4.2,3.979949862,6.337285828,3.119469442
"139",39329,"2030cm",-0.467744941,-0.594289467,2,0,1,9,28,3,7,200,0.0447,0.18,56.1,1.25,0.49,3.7323599,859.9509888,4.5,3.438841113,6.3888586,2.569811479
"140",39331,"2030cm",-0.243822974,-0.327753557,2,1,0,9,28,20,14,79,0.0447,0.21,271.07,0.54,0.44,16.8582993,831.4240112,4.2,3.847216147,6.20803447,2.785838067
"141",39333,"2030cm",0.635412791,-0.082485975,0,0,0,168,28,83,71,125,0.0487,0.59,254.3,3.78,0.27,11.3264999,911.8430176,4,3.659028585,6.200441318,3.311528743
"142",39335,"2030cm",-0.667084091,0.148180939,2,0,1,9,16,1,3,207,0.0282,0.48,54.26,5.48,1.21,8.1530104,812.7199707,4.8,3.818010505,6.588043951,2.677226599
"143",39339,"2030cm",0.094819025,-0.476325429,1,1,0,9,31,5,11,197,0.0488,0.21,289.26,1.3,0.64,6.4287901,669.9489746,4.3,2.926125796,6.328889295,3.401759469
"144",39341,"2030cm",-0.725108208,-0.862858417,2,0,1,9,18,1,4,197,0.0317,0.43,48.69,4.02,0.71,2.17805,859.9829712,4.7,3.170582211,6.254754065,2.795844434
