Sample,Depth,Soil_fertility,Microbial_diversity,No.Fires,Clearcut,Salvage,TSD,Ammonium.Nitrogen,Nitrate.Nitrogen,Phosphorus.Colwell,Potassium.Colwell,Organic.Carbon,DTPA.Copper,DTPA.Iron,DTPA.Manganese,Exc.Magnesium,Slope,Elevation,pH.CaCl2.,Fungi_010cm,Bacteria_010cm,Archaea_010cm
39268,010cm,0.810921615,1.092930805,1,0,0,78,575,17,30,370,5.96,1.27,153.65,4.41,1.71,24.8717995,752.4769897,4.6,4.583176174,6.821057066,3.438064927
39270,010cm,-0.520080455,0.152785435,1,1,0,8,31,25,13,238,4.91,0.59,239.55,3.45,0.47,0.772034,710.6640015,4,4.08694381,6.84173768,2.659318304
39272,010cm,-0.092957063,-0.46722215,2,0,1,8,30,9,13,291,5.36,0.92,99.77,19.74,1.78,8.31005,766.0089722,5.2,3.810055112,6.838038019,2.099467423
39274,010cm,-0.659369037,0.843976956,1,1,0,8,35,13,12,178,5.56,0.36,193.62,1.55,0.44,19.0851994,758.96698,4.1,4.394656529,6.836820999,3.303870831
39276,010cm,-0.055603787,1.260923609,2,0,0,8,25,33,84,322,4.97,0.5,165.22,11.45,0.44,16.4808006,739.7479858,4,4.366800572,7.136837545,3.410528279
39282,010cm,0.333567619,0.689537105,2,0,0,8,46,68,24,349,4.82,0.67,253.69,16.19,2.19,6.4714699,662.4279785,4.2,4.392486403,6.846776385,3.032433906
39286,010cm,1.127331903,-0.3435133,3,0,0,8,31,40,28,709,5.38,2.25,171.37,17.85,4.89,11.8153,506.2969971,5,3.879408222,6.730012649,2.414778458
39288,010cm,0.925926483,-0.248406012,3,0,0,8,33,125,33,599,6.24,1.08,123.82,17.68,2.91,11.7152004,689.3829956,4.8,4.029044094,6.654920706,2.482992016
39290,010cm,0.032290955,0.636290037,3,0,0,8,30,22,18,529,4.72,0.57,102.3,11.62,2.94,13.9348001,671.9699707,4.7,4.570299495,6.968761188,2.399565324
39294,010cm,0.433127841,-0.084853626,0,0,0,167,80,160,38,190,5.38,0.44,272.69,24.32,0.96,4.9470901,865.1430054,3.9,4.161327559,6.589607946,2.671892884
39296,010cm,-0.465809107,0.448282871,2,1,0,8,22,36,18,179,4.4,0.72,283.12,7.61,0.9,9.47791,828.9869995,5,4.177926108,6.825943374,3.029803581
39300,010cm,0.062753419,0.741221462,1,0,0,78,23,39,15,309,6.06,0.47,202.87,10.68,1.67,13.1043997,622.8330078,4.1,4.593126066,6.66602053,3.165930858
39302,010cm,0.907045527,0.991766334,0,0,0,167,156,175,39,307,4.77,0.12,347.3,38.13,1.93,7.2470498,919.5980225,3.8,4.813605677,6.802186461,2.933789165
39304,010cm,0.507010337,0.006089136,3,0,0,8,34,56,42,589,5.32,0.64,177.02,7.46,2.79,14.1571999,498.7890015,4.6,3.745154728,6.885353221,2.886217995
39306,010cm,0.477213023,0.476786804,3,0,0,8,25,53,25,565,5.67,0.78,133.79,12.69,2.97,9.6353502,683.4710083,4.9,4.583143458,6.702007489,2.671949004
39308,010cm,0.052591974,0.497888855,2,0,0,8,60,46,26,218,5.64,0.29,199.05,5.33,1.78,4.2693501,570.9000244,4.2,4.593586,6.752163326,2.585063083
