Sample,Depth,Soil_fertility,Microbial_diversity,No.Fires,CLF,Salv_log,TSD,Slope,Elevation,Ammonium.Nitrogen,Nitrate.Nitrogen,Phosphorus.Colwell,Potassium.Colwell,Organic.Carbon_prop,DTPA.Copper,DTPA.Iron,DTPA.Manganese,Exc..Magnesium,pH.Level..CaCl2.,Fungi_020cm,Bacteria_020cm,Archaea_020cm
39265,2030cm,-0.246633002,-0.491816517,1,1,0,9,9.69203,550.6279907,18,15,10,79,0.0585,0.93,185.42,0.37,0.25,4.1,3.428638359,5.949410063,3.545688952
39267,2030cm,-0.11436776,-0.310856851,1,0,0,79,24.8717995,752.4769897,18,8,9,129,0.0599,1.19,73.53,1.06,0.33,4.5,3.203117152,6.359595739,3.23679619
39269,2030cm,-0.07123127,0.667440905,1,1,0,9,0.772034,710.6640015,26,18,9,147,0.0498,0.54,230.77,1.43,0.18,4,3.928829584,6.392444486,3.563972268
39271,2030cm,-0.115972027,0.065069477,2,0,1,9,8.31005,766.0089722,18,2,11,190,0.0475,0.76,59.99,4.29,0.73,4.7,4.094839933,6.4906702,2.45184952
39273,2030cm,0.796066336,0.436901633,1,1,0,9,19.0851994,758.96698,20,35,13,265,0.0567,0.53,204.38,6.91,1.62,4.1,3.74024561,6.545515071,3.199571558
39275,2030cm,0.25146334,0.332731505,2,0,0,9,16.4808006,739.7479858,17,33,63,181,0.0432,0.37,154.18,5.75,0.22,4,3.204538925,6.866559203,3.057406925
39281,2030cm,0.303668485,1.135414418,2,0,0,9,6.4714699,662.4279785,22,41,12,200,0.0527,0.4,138.66,3.98,0.79,4.2,4.200696929,6.629563997,3.381996264
39285,2030cm,0.833201397,0.57499362,3,0,0,9,11.8153,506.2969971,21,36,14,439,0.0552,0.76,111.5,2.28,2.18,4.7,3.910382676,6.6024866,3.070245176
39287,2030cm,1.094197215,-0.201207252,3,0,0,9,11.7152004,689.3829956,31,53,17,386,0.057,1.03,75.41,7.58,1.33,4.7,3.713550164,6.376470105,2.768967272
39289,2030cm,0.29578918,0.996620852,3,0,0,9,13.9348001,671.9699707,25,29,11,286,0.0467,0.39,55.38,4.01,1.16,4.4,4.600326181,6.559036357,2.89987602
39293,2030cm,0.456148446,0.586749768,0,0,0,168,4.9470901,865.1430054,35,72,20,110,0.0515,0.73,177.92,5.21,0.29,4.1,4.080906009,6.463424841,3.159601048
39295,2030cm,-0.301131834,0.810319627,2,1,0,9,9.47791,828.9869995,15,8,11,89,0.042,0.67,279.7,0.59,0.85,4.3,4.201042053,6.38451256,3.450370865
39299,2030cm,-0.002168076,0.372787571,1,0,0,79,13.1043997,622.8330078,22,25,12,177,0.0552,0.38,129.7,1.93,0.3,4.3,3.655592765,6.455115691,3.387990737
39301,2030cm,0.333052389,0.225411248,0,0,0,168,7.2470498,919.5980225,45,78,16,112,0.044,0.35,164.23,6.02,0.43,4,3.480827715,6.418408691,3.472416644
39303,2030cm,0.177607744,0.323117873,3,0,0,9,14.1571999,498.7890015,20,47,14,268,0.0516,0.32,65,2.46,0.71,4.4,3.823786316,6.400430883,3.243528153
39305,2030cm,0.314826642,-0.143387664,3,0,0,9,9.6353502,683.4710083,24,35,15,268,0.0552,0.33,55.02,2.81,0.82,4.5,3.748185551,6.303212503,2.941050871
39307,2030cm,-0.720498918,0.029307457,2,0,0,9,4.2693501,570.9000244,19,24,10,84,0.0438,0.18,86.79,0.38,0.29,4.4,3.711283672,6.204643814,3.382324862
39309,2030cm,0.000757712,0.513635502,2,0,0,9,1.38991,582.8959961,17,19,10,244,0.0486,0.22,74.5,3.41,0.96,4.3,3.557841147,6.585405456,3.421357168
39313,2030cm,-0.326481968,-0.777709486,2,1,0,9,5.6993599,818.6560059,21,29,14,82,0.0493,0.27,240.57,0.58,0.2,4.2,3.409081153,6.057158176,3.01105081
39315,2030cm,-0.055623979,-0.333531284,3,0,0,9,16.6175995,474.2609863,16,29,12,192,0.0487,0.57,86.09,2.42,0.52,4.4,3.220570456,6.260258027,3.379070255
39317,2030cm,-0.47632237,-0.011706228,2,1,0,9,5.68894,826.7160034,20,22,12,68,0.045,0.2,289.22,0.59,0.19,4.2,3.878279285,6.250906636,3.057154562
39319,2030cm,0.631747048,0.703599929,0,0,0,168,20.8757,931.2080078,44,87,31,135,0.0614,0.3,146.07,3.64,0.36,4.2,3.984205667,6.464028213,3.409862875
39321,2030cm,-0.174560258,-0.050389618,2,0,0,9,10.1742001,733.53302,26,22,15,136,0.0471,0.2,105.54,1.48,0.44,4.3,3.779017302,6.323579148,2.981862168
39323,2030cm,-0.66078968,0.833955456,2,1,0,9,7.8072,825.8280029,15,20,9,96,0.0393,0.3,218.21,0.52,0.25,4.3,3.919535181,6.472970742,3.625002874
